ID	Label	log2FC	SE	pvalue	adj.pvalue	baseMean
SCO0262	mu_wt24	0.0034771402740148	0.116159213207126	0.969058988778268	0.991234910252062	147.495849057827
SCO0263	mu_wt24	-0.0452123517898389	0.146723959787677	0.590375055327968	0.835232595809391	64.4046000764791
SCO0264	mu_wt24	0.085506673008165	0.113087935135453	0.340900086702985	0.661383777354412	185.314056067927
SCO0265	mu_wt24	0.148935661417814	0.109601665561668	0.0920095051146472	0.325626355906461	912.087080408126
SCO0266	mu_wt24	0.130189586481227	0.157438326829529	0.188311184189441	0.493669952097632	264.780364970505
SCO0267	mu_wt24	0.0474818553488687	0.173398782632588	0.402140469265609	0.715299682126547	24.1300635258622
SCO0268	mu_wt24	0.359809728360946	0.168631769312363	0.0043577249414536	0.0418545597107633	238.655959183082
SCO0269	mu_wt24	0.290099214007483	0.135014571997263	0.0065430862673409	0.0567887604824683	316.555561566002
SCO0270	mu_wt24	0.0784093261013498	0.13967445306743	0.393046921755975	0.708059649777959	79.8282737047188
SCO0271	mu_wt24	0.0583803657192823	0.1634954233862	0.447580524365508	0.747754526553028	29.9178965694947
SCO0272	mu_wt24	-0.056452064025762	0.178644800646278	0.292260368416073		11.6036061636415
SCO0273	mu_wt24	-0.0560953843573145	0.162997052224821	0.461705852830427	0.758318752280528	24.5649092404639
SCO0274	mu_wt24	-0.033969874256877	0.160224352286826	0.630633544002928	0.856238150002231	38.6412208432184
SCO0275	mu_wt24	0.0100146093977174	0.119553923153671	0.905269510605258	0.973727313841928	146.905784378562
SCO0276	mu_wt24	0.0067431575462634	0.104319772249822	0.938126431834783	0.984093427855661	227.90827837313
SCO0277	mu_wt24	-0.0717489887874481	0.121653960976862	0.423841373413949	0.731423454213885	195.703762089219
SCO0278	mu_wt24	0.0799457804255488	0.176473499287571	0.291689112791699	0.616279666073423	23.4922246452865
SCO0279	mu_wt24	0.0228551095774174	0.121597042689934	0.796791888430235	0.935680498571751	132.103713490043
SCO0280	mu_wt24	-0.0051669167444917	0.142299391883057	0.948991362524884	0.98838179530723	45.6607984808317
SCO0281	mu_wt24	-0.0555350668470227	0.1719890302695	0.391991110574552	0.70686501014413	15.3724739149795
SCO0282	mu_wt24	0.0588166625462177	0.132960835431766	0.510930766625158	0.788115139363518	100.971917060334
SCO0283	mu_wt24	0.015011687935751	0.160000446637438	0.822543377167279	0.944755242951319	25.2582987207596
SCO0284	mu_wt24	-0.0728808332276277	0.152188491748761	0.406358969150011	0.717344011984221	245.621448223044
SCO0285	mu_wt24	0.0554237793933923	0.126636680126254	0.537804540344869	0.804864879023823	411.456910762346
SCO0286	mu_wt24	-0.0069784306145188	0.130986336945865	0.935616493052345	0.983021712872196	149.678436400068
SCO0287	mu_wt24	0.0752772861741272	0.132059723900979	0.409375728904864	0.71882181875836	124.262763788706
