""	"D24_1"	"D24_2"	"D24_3"	"C24_1"	"C24_2"	"C24_3"	"D45_1"	"D45_2"	"D45_3"	"C45_1"	"C45_2"	"C45_3"
"SCO0129"	7.52221337551036	7.54122609238793	7.53997637285031	7.44275754425142	7.6536570978679	7.4617383511079	7.49054599407871	7.47461617736489	7.42866862623415	7.5640073121652	7.39460377296907	7.46210847954643
"SCO0130"	7.51048831598643	7.35348948685286	7.55255802192844	7.2660248363718	7.26206294758301	7.28160567327908	7.16923239080884	7.23749647613756	7.30072307164275	7.31303276371589	7.16965579121131	7.31991344394402
"SCO0131"	7.00078810838365	6.84509779107363	6.67288883986645	6.74018611164386	6.89149658780671	6.73564529015258	6.94104872452247	7.13420987978605	7.04126908374465	6.88062245092124	6.94339144277017	6.81976019866291
"SCO0132"	8.48265433311523	8.4673229874952	8.60526433976404	8.59756665489719	8.66621341566551	8.50059516148708	10.5902941038599	10.7164951622221	10.5480667152917	10.3103820475217	10.4429925703223	10.3608152312443
"SCO0133"	6.75824098974302	6.87861651621777	6.95034839518703	6.92278095661413	6.8230711865949	6.83585564433907	7.18638960708241	7.40932412603281	7.23891403844291	7.45337850118691	7.15489669029793	7.19677886368796
"SCO0134"	7.04636809172478	6.84509779107363	6.97851330039218	7.0335110951077	7.03666737529591	7.00473940044296	7.3661453122744	7.28408571598973	7.42014920535648	7.15927337612092	7.2522425385013	7.25525940557336
"SCO0135"	7.38393494239038	7.52904423658599	7.40357724915648	7.39598738465282	7.57830279985303	7.39426697878891	8.48728147225669	8.54304837719178	8.6661359450538	8.43922135692666	8.45412960362166	8.61321570899394
"SCO0136"	7.72147956307245	7.74769591883585	7.77529692114522	7.79902479037046	7.83905035752524	7.77273823113606	7.9836903894184	7.94457336880205	8.03515748190873	8.2695893294596	8.24935660921821	8.25148299167326
"SCO0137"	7.92036422663171	7.74769591883585	7.85250362143932	7.71689917823849	7.77007275057176	7.63852276681899	8.43875263775513	8.3564961269053	8.27238423426322	8.40509655939544	8.28746354000872	8.39384302437502
"SCO0138"	7.23467086111833	6.96653061852154	7.10121800616702	7.09076659755313	6.93187212452107	6.89062782723829	7.52470636076739	7.32801771173072	7.40285341251699	7.48799539079988	7.19825890972783	7.35035506059243
"SCO0139"	6.8656081172277	6.72212013194534	6.95034839518703	6.94689614885897	6.93187212452107	6.86411972791247	7.21949671688525	7.53547436402738	7.14741872205018	7.42952624858651	7.51632553884137	7.35035506059243
"SCO0140"	8.16194920114067	8.38475111026396	8.2498267353386	8.22766956839376	8.14564413437575	8.40332250298843	8.63136018895849	8.76018196746915	8.69966079198365	9.16741519272075	9.30259818439284	9.32958635065674
"SCO0141"	8.64582691911153	8.66928552923764	8.55419076233634	8.53080016972638	8.68456550113739	8.82680705071934	9.36817579672983	9.05520283453625	9.13030825846404	9.92552611854444	9.88606787668945	9.91070610644083
"SCO0142"	7.58964008760564	8.016269669679	7.73448610080415	7.88992038055508	7.94329416383412	7.96676115010367	8.37277098063458	8.22077196276713	8.23725708878361	8.3700285170659	8.55297720939923	8.19576841480385
"SCO0143"	7.2978163979945	7.35348948685286	7.29328663791076	7.39598738465282	7.39708663882057	7.45084894030079	7.29627168154693	7.33863130694418	7.53257412339618	7.31303276371589	7.38364817262423	7.37003554842985
"SCO0144"	7.02403530891431	7.20550578574213	7.18443760478472	7.39598738465282	7.26206294758301	7.39426697878891	7.28152624216747	7.30635827382336	7.20597473449618	7.47660430901757	7.33832366068811	7.24393047802672
"SCO0145"	8.11611197552213	7.97708422421303	8.04066889762123	8.00058959667498	7.93775149568415	7.97987475597617	8.06692712880843	7.96145077114982	7.99217726831983	7.78717099046391	8.03271142846602	7.90385663967028
"SCO0147"	7.52221337551036	7.36834036512845	7.3581175183703	7.47626436479051	7.4704779615617	7.45084894030079	7.33891834453093	7.28408571598973	7.30072307164275	7.34037995723155	7.38364817262423	7.36025405272802
"SCO0148"	7.14717010721239	7.10802872984769	7.25874546452324	7.17596344313324	7.0523538879867	7.21117212393804	7.07611126475794	7.16151220013332	7.20597473449618	7.15927337612092	6.92147671453253	6.96465957707363
"SCO0149"	7.58964008760564	7.54122609238793	7.53997637285031	7.47626436479051	7.72371857159966	7.55426785078333	7.4053822922912	7.57662864844249	7.49401081901382	7.54291496556729	7.62379831107238	7.57689995350964
"SCO0150"	7.57872940997836	7.39727037193221	7.30999553780326	7.43129979629798	7.42533853631271	7.47249609414864	7.4053822922912	7.51849375760133	7.29076175150653	7.27014568201463	7.50679021643581	7.37970320061545
"SCO0151"	6.92426022860488	6.84509779107363	6.95034839518703	6.81099077988861	6.89149658780671	6.86411972791247	6.88689303886898	6.97619356416157	6.92916223863123	6.85131556775788	6.72470566310595	6.94650892884461
