	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0211	6.923993607815302	7.186536305259286	6.726895127190823	7.02636211959452
SCO0212	7.087579539549391	7.36663841071547	7.010769612906414	7.420965509239074
SCO0213	7.013034371341457	7.359465097617903	6.932888598729339	7.283143816051833
SCO0214	6.837432736862674	7.077413471257787	6.85313309263142	7.024760643522581
SCO0215	6.97318912150505	7.19888270274567	6.660897375098447	7.0721072221295564
SCO0216	7.461585219408573	7.6819271146225665	7.41915351316004	7.466913539986693
SCO0217	6.962666971585663	7.1142250290544595	6.94857121051908	7.068693877900306
SCO0218	6.699527469574643	6.905132678521049	6.693042382514931	6.7209391550502735
SCO0219	6.964140722405127	7.21715157975864	6.869990623707167	7.007914229853974
SCO0220	6.978043326641547	7.031191304221387	6.89301899088336	6.9500307803437
SCO0222	8.778855921531614	8.498354544709013	8.86706828269095	8.708888230806824
SCO0223	7.720405073661756	7.481000956545636	7.837194473822033	7.6548990044063805
SCO0224	8.114441679693991	8.090855766826664	8.690620621436112	8.151407447396315
SCO0225	7.304367217384333	7.061749284246017	7.190262117459572	6.948864017498163
SCO0226	8.273396867761797	7.703959743303926	8.04488826214246	7.51442936322688
SCO0227	6.48225748203518	6.70954636016268	6.476294407839863	6.510433562272013
SCO0228	6.4234206960654	6.644478118043843	6.4706517136872295	6.520540812735099
SCO0229	8.371197747915767	8.619643120794242	8.506857222484484	8.733628631971415
SCO0230	7.918784315455594	8.123150913849607	8.070510766837913	8.172821037654522
SCO0231	7.14101755075259	7.541755752760746	7.2441033971005	7.35461970871194
SCO0232	6.795835526091248	6.707957982949427	6.70898769234061	6.55476435895251
SCO0233	7.626395222098391	7.557301321578914	7.470135825218871	7.55049023301601
SCO0234	6.79231464574736	6.926405911252154	6.7293685850312395	6.830985276326203
SCO0235	8.109595854780634	8.631324246621888	8.016284449051872	8.099510595787477
SCO0236	7.595684419649377	8.176640231066884	7.60766874424975	7.94015240877816
SCO0237	6.877074024994218	7.437527610226337	6.630301230139957	7.013271265033083
SCO0238	7.160111516103147	7.295295478849423	7.11910287779904	7.28094002256886
SCO0239	7.52847146956524	7.637133773690319	7.404013362056703	7.560694532803496
SCO0240	7.400017731419223	7.455250244356489	7.396389395352069	7.391174651087063
