Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0665	3	3	3	3
SCO0666	3	3	3	3
SCO0667	3	3	3	3
SCO0668	3	3	3	3
SCO0669	3	3	3	3
SCO0670	3	3	3	3
SCO0671	3	3	3	3
SCO0672	3	3	3	3
SCO0673	3	3	3	3
SCO0674	3	3	3	3
SCO0675	3	3	3	3
SCO0676	3	3	3	3
SCO0677	3	3	3	3
SCO0678	3	3	3	3
SCO0679	3	3	3	3
SCO0680	3	3	3	3
SCO0681	3	3	3	3
SCO0682	3	3	3	3
SCO0683	3	3	3	3
SCO0684	3	3	3	3
SCO0685	3	3	3	3
SCO0686	3	3	3	3
SCO0687	3	3	3	3
SCO0688	3	3	3	3
SCO0689	3	3	3	3
SCO0690	3	3	3	3
SCO0691	3	3	3	3
SCO0692	3	3	3	3
SCO0693	3	3	3	3
SCO0694	3	3	3	3
SCO0695	3	3	3	3
SCO0696	3	3	3	3
SCO0698	3	3	3	3
SCO0699	3	3	3	3
SCO0700	3	3	3	3
SCO0701	3	3	3	3
SCO0702	3	3	3	3
SCO0703	3	3	3	3
SCO0705	3	3	3	3
SCO0706	3	3	3	3
SCO0707	3	3	3	3
SCO0708	3	3	3	3
SCO0709	3	3	3	3
SCO0710	3	3	3	3
SCO0711	3	3	3	3
SCO0712	3	3	3	3
SCO0713	3	3	3	3
SCO0714	3	3	3	3
SCO0715	3	3	3	3
SCO0716	3	3	3	3
SCO0717	3	3	3	3
SCO0718	3	3	3	3
SCO0719	3	3	3	3
SCO0720	3	3	3	3
SCO0721	3	3	3	3
SCO0722	3	3	3	3
SCO0723	3	3	3	3
SCO0724	3	3	3	3
SCO0725	3	3	3	3
SCO0726	3	3	3	3
SCO0727	3	3	3	3
SCO0728	3	3	3	3
SCO0729	3	3	3	3
SCO0730	3	3	3	3
SCO0731	3	3	3	3
SCO0732	3	3	3	3
SCO0733	3	3	3	3
SCO0734	3	3	3	3
SCO0735	3	3	3	3
SCO0736	3	3	3	3
SCO0737	3	3	3	3
SCO0738	3	3	3	3
SCO0739	3	3	3	3
SCO0740	3	3	3	3
SCO0741	3	3	3	3
SCO0742	3	3	3	3
SCO0743	3	3	3	3
SCO0744	3	3	3	3
SCO0745	3	3	3	3
SCO0746	3	3	3	3
SCO0747	3	3	3	3
SCO0748	3	3	3	3
SCO0749	3	3	3	3
SCO0750	3	3	3	3
SCO0751	3	3	3	3
SCO0752	3	3	3	3
SCO0753	3	3	3	3
SCO0754	3	3	3	3
SCO0755	3	3	3	3
SCO0756	3	3	3	3
SCO0757	3	3	3	3
SCO0758	3	3	3	3
SCO0759	3	3	3	3
SCO0760	3	3	3	3
SCO0761	3	3	3	3
SCO0762	3	3	3	3
SCO0763	3	3	3	3
SCO0764	3	3	3	3
SCO0765	3	3	3	3
SCO0766	3	3	3	3
SCO0767	3	3	3	3
SCO0768	3	3	3	3
SCO0769	3	3	3	3
SCO0770	3	3	3	3
SCO0771	3	3	3	3
SCO0772	3	3	3	3
SCO0773	3	3	3	3
SCO0774	3	3	3	3
SCO0775	3	3	3	3
SCO0776	3	3	3	3
SCO0777	3	3	3	3
SCO0778	3	3	3	3
SCO0779	3	3	3	3
SCO0780	3	3	3	3
SCO0781	3	3	3	3
SCO0782	3	3	3	3
SCO0783	3	3	3	3
SCO0784	3	3	3	3
SCO0785	3	3	3	3
SCO0786	3	3	3	3
SCO0787	3	3	3	3
SCO0788	3	3	3	3
SCO0789	3	3	3	3
SCO0790	3	3	3	3
SCO0791	3	3	3	3
SCO0792	3	3	3	3
SCO0793	3	3	3	3
SCO0794	3	3	3	3
SCO0795	3	3	3	3
SCO0796	3	3	3	3
SCO0797	3	3	3	3
SCO0798	3	3	3	3
SCO0799	3	3	3	3
SCO0800	3	3	3	3
SCO0801	3	3	3	3
SCO0802	3	3	3	3
SCO0803	3	3	3	3
SCO0804	3	3	3	3
SCO0805	3	3	3	3
SCO0806	3	3	3	3
SCO0807	3	3	3	3
SCO0808	3	3	3	3
SCO0809	3	3	3	3
SCO0810	3	3	3	3
SCO0811	3	3	3	3
SCO0812	3	3	3	3
SCO0813	3	3	3	3
SCO0814	3	3	3	3
SCO0815	3	3	3	3
SCO0816	3	3	3	3
SCO0817	3	3	3	3
SCO0818	3	3	3	3
SCO0819	3	3	3	3
SCO0820	3	3	3	3
SCO0821	3	3	3	3
SCO0822	3	3	3	3
SCO0823	3	3	3	3
SCO0824	3	3	3	3
SCO0825	3	3	3	3
SCO0826	3	3	3	3
SCO0827	3	3	3	3
SCO0828	3	3	3	3
SCO0829	3	3	3	3
SCO0830	3	3	3	3
SCO0831	3	3	3	3
SCO0832	3	3	3	3
SCO0833	3	3	3	3
SCO0834	3	3	3	3
SCO0835	3	3	3	3
SCO0836	3	3	3	3
SCO0837	3	3	3	3
SCO0838	3	3	3	3
SCO0839	3	3	3	3
SCO0840	3	3	3	3
SCO0841	3	3	3	3
SCO0842	3	3	3	3
SCO0843	3	3	3	3
SCO0844	3	3	3	3
SCO0845	3	3	3	3
SCO0846	3	3	3	3
SCO0847	3	3	3	3
SCO0848	3	3	3	3
SCO0849	3	3	3	3
SCO0850	3	3	3	3
SCO0851	3	3	3	3
SCO0852	3	3	3	3
SCO0853	3	3	3	3
SCO0854	3	3	3	3
SCO0855	3	3	3	3
SCO0856	3	3	3	3
SCO0857	3	3	3	3
SCO0858	3	3	3	3
SCO0859	3	3	3	3
SCO0860	3	3	3	3
SCO0861	3	3	3	3
SCO0862	3	3	3	3
SCO0863	3	3	3	3
SCO0864	3	3	3	3
SCO0865	3	3	3	3
SCO0866	3	3	3	3
SCO0867	3	3	3	3
SCO0868	3	3	3	3
SCO0869	3	3	3	3
SCO0870	3	3	3	3
SCO0871	3	3	3	3
SCO0872	3	3	3	3
SCO0873	3	3	3	3
SCO0874	3	3	3	3
SCO0875	3	3	3	3
SCO0876	3	3	3	3
SCO0877	3	3	3	3
SCO0878	3	3	3	3
SCO0880	3	3	3	3
SCO0881	3	3	3	3
SCO0882	3	3	3	3
SCO0883	3	3	3	3
SCO0884	3	3	3	3
SCO0885	3	3	3	3
SCO0886	3	3	3	3
SCO0887	3	3	3	3
SCO0888	3	3	3	3
SCO0889	3	3	3	3
SCO0890	3	3	3	3
SCO0891	3	3	3	3
SCO0892	3	3	3	3
SCO0893	3	3	3	3
SCO0894	3	3	3	3
SCO0895	3	3	3	3
SCO0896	3	3	3	3
SCO0897	3	3	3	3
SCO0898	3	3	3	3
SCO0899	3	3	3	3
SCO0900	3	3	3	3
SCO0901	3	3	3	3
SCO0902	3	3	3	3
SCO0903	3	3	3	3
SCO0904	3	3	3	3
SCO0905	3	3	3	3
SCO0906	3	3	3	3
SCO0907	3	3	3	3
SCO0908	3	3	3	3
SCO0909	3	3	3	3
SCO0910	3	3	3	3
SCO0911	3	3	3	3
SCO0912	3	3	3	3
SCO0913	3	3	3	3
SCO0914	3	3	3	3
SCO0915	3	3	3	3
SCO0916	3	3	3	3
SCO0917	3	3	3	3
SCO0918	3	3	3	3
SCO0919	3	3	3	3
SCO0920	3	3	3	3
SCO0921	3	3	3	3
SCO0922	3	3	3	3
SCO0923	3	3	3	3
SCO0924	3	3	3	3
SCO0925	3	3	3	3
SCO0926	3	3	3	3
SCO0927	3	3	3	3
SCO0928	3	3	3	3
SCO0929	3	3	3	3
SCO0930	3	3	3	3
SCO0931	3	3	3	3
SCO0932	3	3	3	3
SCO0933	3	3	3	3
SCO0934	3	3	3	3
SCO0935	3	3	3	3
SCO0936	3	3	3	3
SCO0937	3	3	3	3
SCO0938	3	3	3	3
SCO0939	3	3	3	3
SCO0940	3	3	3	3
SCO0941	3	3	3	3
SCO0942	3	3	3	3
SCO0943	3	3	3	3
SCO0944	3	3	3	3
SCO0945	3	3	3	3
SCO0946	3	3	3	3
SCO0947	3	3	3	3
SCO0948	3	3	3	3
SCO0949	3	3	3	3
SCO0950	3	3	3	3
SCO0951	3	3	3	3
SCO0952	3	3	3	3
SCO0953	3	3	3	3
SCO0954	3	3	3	3
SCO0955	3	3	3	3
SCO0956	3	3	3	3
SCO0957	3	3	3	3
